"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"50","Sick again!?!?! Ughhh, this is the worst year for flu/cold. Got a Hep A vaccine on the weekend, I wonder if it's related.",FALSE,0,NA,2019-03-05 16:23:36,FALSE,NA,"1102967909180035072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mayppong",0,FALSE,FALSE,NA,NA
"51","I realized this weekend that I actually don't mind getting a horrible cold or the flu. When my body is sick, my bra… https://t.co/YRVuHHXuCk",FALSE,5,NA,2019-03-05 16:06:50,TRUE,NA,"1102963690213687299",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","angiebulkeley",0,FALSE,FALSE,NA,NA
"52","During cold/flu/bronchitis/pneumonia season- be on the lookout for #sepsis - costly and often deadly for all ages.… https://t.co/B7J1ipwVEd",FALSE,0,NA,2019-03-05 16:06:50,TRUE,NA,"1102963689903267841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdrienneSmith12",0,FALSE,FALSE,NA,NA
"53","Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifyi… https://t.co/Huu6GciSvV",FALSE,0,NA,2019-03-05 16:02:48,TRUE,NA,"1102962675334762497",NA,"<a href=""https://postcron.com"" rel=""nofollow"">Postcron App</a>","Renovation_Tea",0,FALSE,FALSE,NA,NA
"54","Though spring is coming, cold and flu are still going around. Here are 25 ways to survive cold and flu season:… https://t.co/7vVKrDRC9K",FALSE,0,NA,2019-03-05 16:02:09,TRUE,NA,"1102962509928165376",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","cwimedical",0,FALSE,FALSE,NA,NA
"55","RT @EarthCider: #ACV #Turmeric #RootCider  Get Your Natural Cold &amp; Flu Protection Here https://t.co/8jwGBtVlbs https://t.co/Vkk8BxzWk1",FALSE,0,NA,2019-03-05 16:01:43,FALSE,NA,"1102962400997855232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","janamurray",4,TRUE,FALSE,NA,NA
"56","Flu? Cold? No matter what you're sick with, nothing is as bad as not having sub plans prepared. Luckily, we've got… https://t.co/HZNblKRt6q",FALSE,0,NA,2019-03-05 15:54:01,TRUE,NA,"1102960463388856320",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","learnwithalbert",0,FALSE,FALSE,NA,NA
"57","Thanks in part to new #telehealth tools and tactics, the team at Bon Secours Health System feel better prepared tha… https://t.co/FEqzGfgm1G",FALSE,0,NA,2019-03-05 15:53:03,TRUE,NA,"1102960222073769985",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","TelemedLeaders",0,FALSE,FALSE,NA,NA
"58","Fast Cold + Flu Relief https://t.co/5JvvH57KNV
 from @WebMD https://t.co/CmH1LOYizZ",FALSE,0,NA,2019-03-05 15:37:02,FALSE,NA,"1102956189699186693",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","TheCenturionWay",0,FALSE,FALSE,NA,NA
"59","RT @WebMD: At the start of the flu season, the predominant strain was influenza A H1N1, but now a more severe strain, influenza A H3N2, acc…",FALSE,0,NA,2019-03-05 15:29:17,FALSE,NA,"1102954238768869376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","H7N9Flu",38,TRUE,FALSE,NA,NA
"60","I either have a really bad cold or the flu. Happy Tuesday! <U+0001F927>",FALSE,7,NA,2019-03-05 15:26:10,FALSE,NA,"1102953455734411265",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MsGryphi",0,FALSE,FALSE,NA,NA
"61","@MikeDrucker “Cold and congestion got you down? Clear it up with Hedgehog nighttime cold and flu relief! Look for t… https://t.co/cNJviBlTMC",FALSE,0,"MikeDrucker",2019-03-05 15:24:07,TRUE,"1102710085846028290","1102952939986010112","17158189","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScroochMagooch",0,FALSE,FALSE,NA,NA
"62","During cold&amp;flu season, Ms Ellie Mae loves eating all the Elderberry Gummies <U+0001F600>
#elliemaeselderberry… https://t.co/re4vXfKFyp",FALSE,0,NA,2019-03-05 15:20:59,TRUE,NA,"1102952152769556480",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","EllieElderberry",0,FALSE,FALSE,NA,NA
"63","On the surface they seem very similar, but there are a few key ways to decipher between the two:… https://t.co/oidpC0NPEL",FALSE,1,NA,2019-03-05 15:20:18,TRUE,NA,"1102951981449129985",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","CookingLight",0,FALSE,FALSE,NA,NA
"64","RT @jaebellabella: @btsvotingteam @Yoongiiluvu @BTS_twt <U+0001F912>...everyone take care it's cold/flu season. <U+0001F375><U+0001F958><U+0001F634> 
#BTSARMY #BestFanArmy #iHeartAwar…",FALSE,0,NA,2019-03-05 15:20:07,FALSE,NA,"1102951932673572865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luv7bts",2,TRUE,FALSE,NA,NA
"65","Caregivers—do you know the difference between a cold and the #flu? A cold is milder than the flu, but since the flu… https://t.co/skviMIIRAj",FALSE,1,NA,2019-03-05 15:20:00,TRUE,NA,"1102951903699365889",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Alzheimers_NIH",0,FALSE,FALSE,NA,NA
"66","i got the flu and it’s to cold for Mardi Gras I’ll try again next year.",FALSE,0,NA,2019-03-05 15:18:02,FALSE,NA,"1102951409383813122",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Angeliquescottt",0,FALSE,FALSE,NA,NA
"67","@Iovehearts Neurofen cold and flu is the only job, the ibproufen sorts inflammation and pain and it has a decongestant as well",FALSE,0,"Iovehearts",2019-03-05 15:12:27,FALSE,"1102936440818798603","1102950006242316288","51830204","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aybheann",0,FALSE,FALSE,NA,NA
"68","Cold and flu season is here— be prepared for it by having cough medicine on hand.

Want more options? Visit Mar-J:… https://t.co/Wi0symH7gX",FALSE,0,NA,2019-03-05 15:10:42,TRUE,NA,"1102949563466428416",NA,"<a href=""https://www.meetsoci.com"" rel=""nofollow"">SOCi - Simplifying Social Media</a>","marjmeds",0,FALSE,FALSE,NA,NA
"69","Am I the only person who can taste a cold coming on? Every time I get sick with a cold or the flu, I get a weird ta… https://t.co/qDXGRlCJIx",FALSE,9,NA,2019-03-05 15:04:37,TRUE,NA,"1102948031006232576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JakeJarvisWV",0,FALSE,FALSE,NA,NA
"70","Winter is here! Be prepared with the Cold and Flu Survival Guide https://t.co/NtxKqxhRHd
#Parenting #coldandflu… https://t.co/fLR3J51Cbw",FALSE,0,NA,2019-03-05 15:01:19,TRUE,NA,"1102947204141117441",NA,"<a href=""https://smarterqueue.com"" rel=""nofollow"">SmarterQueue</a>","ThePedsNinja",0,FALSE,FALSE,NA,NA
"71","@MTA making people wait 45 minutes on an outdoor platform for a #Jtrain in this weather is borderline inhumane, and… https://t.co/BZ8h0uDm9Y",FALSE,0,"MTA",2019-03-05 14:48:06,TRUE,NA,"1102943875096870917","94129050","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HallieSteiner",0,FALSE,FALSE,NA,NA
"72","Got a #cough? Take a #marshmallow? It's not what it sounds like, but the answer's yes!
#sorethroat #coughandcold… https://t.co/39H3Ok2Y26",FALSE,0,NA,2019-03-05 14:46:00,TRUE,NA,"1102943349084958724",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","naturalpathnews",0,FALSE,FALSE,NA,NA
"73","tryin to decide if i have a cold or if i caught the flu that’s going around",FALSE,0,NA,2019-03-05 14:34:40,FALSE,NA,"1102940497063092227",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaylakrugerx",0,FALSE,FALSE,NA,NA
"74","When your child with diabetes is ill, there are simple steps you can take to help manage blood sugar levels. 

Here… https://t.co/sPXTp8Uve4",FALSE,0,NA,2019-03-05 14:30:06,TRUE,NA,"1102939345638617089",NA,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","NortonChildrens",0,FALSE,FALSE,NA,NA
"75","You know it's cold and flu season when :healthpack: makes it into your frequently used emoji list",FALSE,0,NA,2019-03-05 14:27:19,FALSE,NA,"1102938646464741376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nathanhruby",0,FALSE,FALSE,NA,NA
"76","More Severe Flu Strain Starts to Spread Widely https://t.co/v61zlkVKu9",FALSE,0,NA,2019-03-05 14:16:19,FALSE,NA,"1102935878484312064",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UrgentCareNowNJ",0,FALSE,FALSE,NA,NA
"77","Office Depot - Buy 1, Get 1 50% off Cold and Flu items.
https://t.co/gueLRbLvXD",FALSE,0,NA,2019-03-05 14:12:01,FALSE,NA,"1102934797494771719",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","coupsbyjigs",0,FALSE,FALSE,NA,NA
"78","RT @mnt: How to treat a cold or flu at home https://t.co/YbVBLiUMvx @mnt https://t.co/aC5qNJ89Gw",FALSE,0,NA,2019-03-05 14:04:57,FALSE,NA,"1102933016639389698",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlagoTwit2014",0,TRUE,FALSE,NA,NA
"79","Winter's last hurrah means cold and flu season is still going strong...schedule your make-up tests with us!
Contact… https://t.co/nlaJyzoUJb",FALSE,0,NA,2019-03-05 14:02:01,TRUE,NA,"1102932277288468481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UofLtesting",0,FALSE,FALSE,NA,NA
"80","No blog posts this week because I am sick with some sort of cold or flu. I should be better by next week!",FALSE,3,NA,2019-03-05 14:00:08,FALSE,NA,"1102931806918189057",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","WhyWePlayGames",0,FALSE,FALSE,NA,NA
